project,owner,repo,sha,url,sloc,stars,age_years,commit_count,stmt_cov_pct,branch_cov_pct,notes
0HugoHu-HugoHu-Python-PySpark,0HugoHu,HugoHu-Python-PySpark,57848da,https://github.com/0HugoHu/HugoHu-Python-PySpark.git,610,1,2.2,2,22.8,11.3,
18F-identity-terraform,18F,identity-terraform,9eebc4d,https://github.com/18F/identity-terraform.git,10936,19,7.7,668,23.6,11.1,
283375-arcaea-offline,283375,arcaea-offline,9086133,https://github.com/283375/arcaea-offline.git,2238,29,2.6,119,23.2,12.1,
2pair-gdipak,2pair,gdipak,d0d1bbc,https://github.com/2pair/gdipak.git,1486,5,4.9,50,99.8,96.8,tests_failed;coverage_failed
A-F-V-Refactoring-Agent,A-F-V,Refactoring-Agent,2d031cf,https://github.com/A-F-V/Refactoring-Agent.git,1278,1,1.9,28,22.4,10.8,
APS-Networks-bfrt-helper,APS-Networks,bfrt-helper,7ea485a,https://github.com/APS-Networks/bfrt-helper.git,3736,13,4.5,5,24.2,13.4,
Adeniyilowee-CI-CD-with-Github-Actions,Adeniyilowee,CI-CD-with-Github-Actions,25c6364,https://github.com/Adeniyilowee/CI-CD-with-Github-Actions.git,422323,2,2.3,19,20.9,13.2,
Aditya-1998k-CacheCraft,Aditya-1998k,CacheCraft,39b6213,https://github.com/Aditya-1998k/CacheCraft.git,152,0,1.3,10,22.2,12.5,
AgeOfLearning-upackage,AgeOfLearning,upackage,b5b6d78,https://github.com/AgeOfLearning/upackage.git,260,2,7.1,25,22.2,11.9,
Aggify-aggify,Aggify,aggify,1748e98,https://github.com/Aggify/aggify.git,2788,73,2.2,401,24.8,14.0,
AlexOrlek-figleaf_fasta,AlexOrlek,figleaf_fasta,2ac9d84,https://github.com/AlexOrlek/figleaf_fasta.git,538,6,4.9,11,22.2,12.5,
AlexRiina-checkmyreqs,AlexRiina,checkmyreqs,66af15e,https://github.com/AlexRiina/checkmyreqs.git,305,1,12.8,10,23.4,12.3,
AlexanderCollins-TurboDRF,AlexanderCollins,TurboDRF,9aad5cc4754ceaf9367c69c4de12f742210a2a5a,https://github.com/AlexanderCollins/TurboDRF.git,5658,158,0.6,64,64.0,55.9,
AliAkhtari78-SpotifyScraper,AliAkhtari78,SpotifyScraper,b28196281c957ea7f11dcdae00113287dc89b080,https://github.com/AliAkhtari78/SpotifyScraper.git,30050,223,5.7,303,0.0,0.0,
AllenInstitute-aics-ml-segmentation,AllenInstitute,aics-ml-segmentation,6ee1713100666ff4cd32380a75cc628124d9c2dc,https://github.com/AllenInstitute/aics-ml-segmentation.git,3187,27,7.3,157,22.1,12.9,
AllenInstitute-ecephys_spike_sorting,AllenInstitute,ecephys_spike_sorting,6210caa,https://github.com/AllenInstitute/ecephys_spike_sorting.git,17583,122,7.7,379,23.0,13.1,
AllenInstitute-open_dataset_tools,AllenInstitute,open_dataset_tools,e67b88b03b20f47793493f4ce4f2b4eaffab47f0,https://github.com/AllenInstitute/open_dataset_tools.git,2561,14,5.6,116,24.7,13.9,
AlvaroMenduina-ZERN,AlvaroMenduina,ZERN,8a085b6,https://github.com/AlvaroMenduina/ZERN.git,583,19,8.0,52,23.6,14.1,
